Cashflow_code,Cashflow_line_item,BS_item_code,Source_usage,Cashflow_factor_base,Deposits_amber,Credit_amber,FTP_Profitability_amber,News_amber,Equity_market_amber,Interest_rate_amber,International_economics_amber,Credit_sentiment_amber,Deposits_red,Credit_red,FTP_Profitability_red,News_red,Equity_market_red,Interest_rate_red,International_economics_red,Credit_sentiment_red
LIA_EQU_CAP_01,Equity_capital_raise,LIA_EQU_CAP,Source,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000
LIA_EQU_CAP_02,Equity_capital_payoff,LIA_EQU_CAP,Usage,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_DEP_CAS_01,Deposit_CASA_mobilisation,LIA_DEP_CAS,Source,0.0500,-0.5000,0.0000,0.0000,-0.5000,0.1000,0.1000,0.0000,0.0000,-1.0000,0.0000,0.0000,-1.0000,0.2000,0.2000,0.0000,0.0000
LIA_DEP_CAS_02,Deposit_CASA_behavioural_runoff,LIA_DEP_CAS,Usage,0.0500,0.5000,0.0000,0.0000,0.5000,0.0000,-0.1000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,-0.2000,0.0000,0.0000
LIA_DEP_TDD_01,Deposit_TD_mobilisation,LIA_DEP_TDD,Source,0.2500,-0.5000,0.0000,0.0000,0.0000,0.1000,0.2500,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0.0000,0.0000
LIA_DEP_TDD_02,Deposit_TD_maturity,LIA_DEP_TDD,Usage,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_DEP_TDD_03,Deposit_TD_premat_withdraw,LIA_DEP_TDD,Usage,0.0500,0.5000,0.0000,0.0000,0.5000,0.0000,-0.1000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,-0.2000,0.0000,0.0000
LIA_BOR_CBB_01,Borrowing_central_bank_mobilisation,LIA_BOR_CBB,Source,1.2000,0.0500,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,-0.2000,0.0000,0.0000
LIA_BOR_CBB_02,Borrowing_central_bank_maturity,LIA_BOR_CBB,Usage,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_BOR_STT_01,Short_term_borrowing_mobilisation,LIA_BOR_STT,Source,0.5000,0.1000,0.0000,0.0000,-0.5000,0.0000,-0.1000,0.0000,0.0000,0.2000,0.0000,0.0000,-1.0000,0.0000,-0.2000,0.0000,0.0000
LIA_BOR_STT_02,Short_term_borrowing_maturity,LIA_BOR_STT,Usage,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LIA_BOR_STT_03,Short_term_borrowing_options,LIA_BOR_STT,Usage,0.0000,0.0500,0.0000,0.0000,0.2000,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,0.4000,0.0000,0.2000,0.0000,0.0000
LIA_BOR_LTT_01,Long_term_borrowing_mobilisation,LIA_BOR_LTT,Source,0.5000,0.0500,0.0000,0.0000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000
LIA_BOR_LTT_02,Long_term_borrowing_maturity,LIA_BOR_LTT,Usage,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
